source,title,summary,timestamp,category
example_feed,New era for space dawns as Artemis astronauts return,"After a 10-day journey around the far side of the Moon, the four astronauts on NASA’s Artemis II mission are set to splash down in the Pacific Ocean late on Friday.&nbsp;",,other
example_feed,Sudan: 14 million displaced; hunger and attacks on health continue as war enters fourth year,"As Sudan approaches the third anniversary of a brutal civil war, millions remain displaced and hungry while the health system lies in ruins, with no end to the violence in sight, UN agencies said on Friday.",,security
example_feed,"Lebanon airstrike casualties ‘still under the rubble’ as ambulances, hospitals face new threats","With Lebanon still reeling from Israel’s devastating airstrikes on 8 April, UN humanitarians reported new fears of attacks on ambulances and looming food shortages in the south of the country on Friday.",,security
example_feed,MIDDLE EAST LIVE 10 April: Fear and uncertainty grow in Lebanon as conflict grinds on,"Fighting continues across parts of the Middle East, with renewed exchanges between Israel and Hezbollah in Lebanon. Humanitarian needs are deepening, with rising civilian casualties, mounting displacement and growing strain on services. Diplomatic efforts continue with high stakes negotiations due to start Saturday between the US and Iran over the faltering ceasefire deal. Lebanon is an active war zone and the Strait of Hormuz is still effectively closed. Stay with us for live updates. App users can follow coverage here.",,security
example_feed,Kosovo mission head warns ‘mistrust’ threatens post-election stability,"Despite successful legislative elections in Kosovo late last year, a “delicate equilibrium” persists as deep divisions remain over the future of the United Nations presence in the region.",,other
example_feed,Development finance gap risks reversing decades of progress,"Global fragmentation, deepening geopolitical tensions and conflicts are putting decades of development progress at risk, the UN warned in a report published on Thursday - calling for stepping up investment to meet internationally agreed goals.&nbsp;",,security
example_feed,Lebanon: Health system overwhelmed following a ‘horrific’ day of Israeli strikes,"The scale and speed of destruction from the wave of airstrikes in Lebanon which began just hours after the US-Iran ceasefire announcement, has left the country’s already strained health system struggling to cope, according to the World Health Organization (WHO).",,mobility
example_feed,"World News in Brief: Sudan refugee update, child trafficking crisis in South Sudan, ‘mystery’ illness in Burundi, human rights in Serbia","More than a million Sudanese refugees who’ve fled into neighbouring Chad risk losing out on essential food, shelter and other support due to funding cuts, as the war in their homeland approaches the three-year mark.",,mobility
example_feed,"MIDDLE EAST LIVE 9 April: UN condemns massive strikes in Lebanon, as concerns grow over ceasefire","With a US-Iran ceasefire offering a fragile glimmer of hope after weeks of conflict, violence continues to reverberate across the Middle East. Massive airstrikes in Lebanon have caused heavy civilian casualties and widespread destruction, drawing strong UN condemnation. As humanitarian needs deepen and diplomatic efforts intensify, the situation remains highly volatile. Stay with us for live updates. App users can follow coverage here.",,security
example_feed,Iran ceasefire raises hopes for reopening key Strait of Hormuz,"The announcement of a shaky two-week ceasefire between the US and Iran will, it is hoped, lead to the opening of the strategically important Strait of Hormuz, a vital waterway through which one fifth of the world’s oil and gas passes.",,mobility
example_feed,Hundreds feared dead in Lebanon strikes,The United Nations has strongly condemned airstrikes by the Israeli military across Lebanon on Wednesday which have resulted in significant casualties and destruction. &nbsp;,,security
example_feed,"Over 1,000 humanitarians have been killed in three years, Security Council hears","At least 326 humanitarians were killed in the line of duty across 21 countries during 2025, bringing the total killed over three years to over 1,010. The International Red Cross warned the Security Council on Wednesday that “we are losing our humanity in war.”",,other
example_feed,MIDDLE EAST LIVE 8 April: US-Iran ceasefire announced; strikes continue in Lebanon,"After nearly 40 days of intense hostilities across the Middle East – marked by rising civilian casualties and widespread damage to critical infrastructure – a two-week ceasefire between the United States and Iran has been announced. While the UN Secretary-General has welcomed the move as a step toward a broader peace, reports of continued Israeli strikes and mass casualties across Lebanon underscore the fragility of the situation. Stay with us for live updates. App users can follow coverage here.",,mobility
example_feed,"World News in Brief: Death on the Mediterranean, displacement in Afghanistan, ‘One Health’ summit","Over 180 people are feared dead or missing in the latest shipwrecks on the Mediterranean, according to the UN migration agency, IOM.",,other
example_feed,Security Council: Russia and China veto resolution on Strait of Hormuz,"The UN Security Council has failed to adopt a resolution aiming to boost security in the Strait of Hormuz as the critical shipping corridor remains largely closed to global trade and the transport of humanitarian aid, with war continuing to rage across the region.&nbsp;",,mobility
example_feed,From misdiagnosis to medical bias: Why women are living longer but not better,"For 25 years, the world has made&nbsp;significant progress in advancing women’s right to health, particularly in sexual and reproductive care. Women are living longer than ever before – but they are not living better.",,other
example_feed,MIDDLE EAST LIVE 7 April: Humanitarian and economic pressures grow; Russia and China veto resolution on Strait of Hormuz,"Hostilities continue across the Middle East, with ongoing strikes, rising civilian impacts and mounting pressure on critical infrastructure and humanitarian services. On the diplomatic track in New York, China and Russia vetoed a Security Council resolution put forward by Gulf States to ensure safety and security of ships in the Strait of Hormuz - find full coverage here. Meanwhile, displacement remains high, aid access is constrained. Human rights chief Volker Türk says President Trump’s threat to annihilate Iranian civilisation is “sickening”. Stay with us for live updates from across the UN system. App users can follow coverage here.",,mobility
